dump,frame,n_ice,n_max,n_clusters,n_ic,n_ih,n_mixed,cubicity,chill_cubic,chill_hexagonal,chill_interfacial,chill_clathrate,chill_interclathrate,chill_water,chill_max
niu-critical-melting,671,327.0,127.0,12.0,104.0,186.0,37.0,0.43119266055045874,14.0,49.0,199.0,23.0,198.0,2397.0,16.0
niu-critical-melting,681,356.0,164.0,14.0,117.0,197.0,42.0,0.44662921348314605,17.0,49.0,233.0,14.0,174.0,2393.0,17.0
niu-critical-melting,691,253.0,141.0,8.0,78.0,127.0,48.0,0.4980237154150198,21.0,57.0,201.0,34.0,202.0,2365.0,23.0
niu-critical-melting,701,221.0,137.0,8.0,27.0,157.0,37.0,0.2895927601809955,14.0,47.0,147.0,20.0,206.0,2446.0,17.0
niu-critical-melting,711,177.0,105.0,7.0,42.0,102.0,33.0,0.423728813559322,17.0,45.0,142.0,18.0,220.0,2438.0,30.0
niu-critical-melting,721,141.0,117.0,3.0,30.0,75.0,36.0,0.46808510638297873,11.0,44.0,136.0,27.0,227.0,2435.0,27.0
niu-critical-melting,731,114.0,90.0,3.0,18.0,66.0,30.0,0.42105263157894735,11.0,37.0,141.0,23.0,229.0,2439.0,16.0
niu-critical-melting,741,130.0,92.0,4.0,38.0,60.0,32.0,0.5384615384615384,14.0,33.0,134.0,24.0,230.0,2445.0,14.0
niu-critical-melting,751,85.0,73.0,2.0,19.0,41.0,25.0,0.5176470588235295,9.0,29.0,126.0,19.0,214.0,2483.0,17.0
niu-critical-melting,761,177.0,73.0,8.0,71.0,85.0,21.0,0.519774011299435,7.0,42.0,147.0,34.0,231.0,2419.0,13.0
niu-critical-melting,771,88.0,52.0,4.0,0.0,88.0,0.0,0.0,6.0,34.0,141.0,25.0,251.0,2423.0,11.0
niu-critical-melting,781,138.0,70.0,5.0,44.0,94.0,0.0,0.3188405797101449,8.0,35.0,127.0,19.0,236.0,2455.0,14.0
niu-critical-melting,791,165.0,32.0,9.0,48.0,111.0,6.0,0.32727272727272727,7.0,37.0,124.0,22.0,235.0,2455.0,5.0
niu-critical-melting,801,154.0,44.0,9.0,32.0,122.0,0.0,0.2077922077922078,7.0,38.0,152.0,36.0,200.0,2447.0,4.0
niu-critical-melting,811,92.0,24.0,6.0,0.0,92.0,0.0,0.0,5.0,28.0,125.0,23.0,235.0,2464.0,2.0
niu-critical-melting,821,166.0,32.0,9.0,5.0,152.0,9.0,0.08433734939759036,10.0,24.0,147.0,25.0,226.0,2448.0,3.0
niu-critical-melting,831,206.0,80.0,10.0,74.0,124.0,8.0,0.39805825242718446,8.0,28.0,146.0,26.0,219.0,2453.0,2.0
niu-critical-melting,841,166.0,40.0,9.0,50.0,110.0,6.0,0.3373493975903614,10.0,28.0,144.0,28.0,197.0,2473.0,3.0
niu-critical-melting,851,114.0,20.0,8.0,70.0,44.0,0.0,0.6140350877192983,1.0,21.0,127.0,35.0,198.0,2498.0,3.0
niu-critical-melting,861,46.0,22.0,3.0,22.0,24.0,0.0,0.4782608695652174,3.0,22.0,97.0,33.0,240.0,2485.0,2.0
niu-critical-melting,871,114.0,34.0,7.0,30.0,72.0,12.0,0.3684210526315789,2.0,25.0,126.0,23.0,226.0,2478.0,2.0
niu-critical-melting,881,92.0,20.0,7.0,8.0,78.0,6.0,0.15217391304347827,6.0,19.0,123.0,32.0,194.0,2506.0,3.0
niu-critical-melting,891,92.0,20.0,7.0,0.0,92.0,0.0,0.0,7.0,23.0,147.0,19.0,228.0,2456.0,3.0
niu-critical-melting,901,120.0,24.0,8.0,28.0,92.0,0.0,0.23333333333333334,11.0,17.0,102.0,31.0,245.0,2474.0,2.0
niu-critical-melting,911,173.0,36.0,10.0,23.0,141.0,9.0,0.18497109826589594,8.0,23.0,145.0,31.0,248.0,2425.0,2.0
niu-critical-melting,921,181.0,46.0,7.0,75.0,100.0,6.0,0.44751381215469616,7.0,28.0,132.0,27.0,234.0,2452.0,3.0
niu-critical-melting,931,128.0,40.0,7.0,44.0,75.0,9.0,0.4140625,10.0,21.0,113.0,26.0,229.0,2481.0,3.0
niu-critical-melting,941,126.0,24.0,9.0,42.0,84.0,0.0,0.3333333333333333,2.0,29.0,101.0,25.0,241.0,2482.0,3.0
niu-critical-melting,951,122.0,24.0,9.0,14.0,108.0,0.0,0.11475409836065574,7.0,35.0,152.0,27.0,240.0,2419.0,3.0
niu-critical-melting,961,66.0,30.0,4.0,30.0,36.0,0.0,0.45454545454545453,3.0,32.0,125.0,27.0,249.0,2444.0,2.0
niu-critical-melting,971,100.0,20.0,7.0,40.0,54.0,6.0,0.46,6.0,31.0,157.0,22.0,245.0,2419.0,2.0
niu-critical-melting,981,148.0,34.0,8.0,88.0,58.0,2.0,0.6081081081081081,5.0,23.0,120.0,31.0,232.0,2469.0,3.0
niu-critical-melting,991,186.0,62.0,10.0,54.0,130.0,2.0,0.3010752688172043,5.0,28.0,128.0,24.0,208.0,2487.0,2.0
niu-critical-melting,1001,58.0,18.0,4.0,46.0,12.0,0.0,0.7931034482758621,4.0,23.0,134.0,17.0,201.0,2501.0,1.0
