# data/public-ice/nucleation/Ice_nucleation_trajectory/Nucleation_trajectory-2 nframes 1001 last 1001 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
795 2880 1370 399 323 5 74 709 1769 1762 8 2303 2303 1 122 1414 777 2313 2313 1
796 2880 1392 407 329 15 80 657 1799 1791 8 2347 2347 1 147 1443 811 2401 2401 1
797 2880 1416 426 351 7 60 620 1842 1833 10 2383 2383 1 151 1438 807 2396 2396 1
798 2880 1404 439 327 6 57 647 1843 1820 16 2382 2382 1 133 1459 799 2391 2391 1
799 2880 1446 434 341 7 65 587 1880 1864 14 2395 2395 1 154 1448 798 2400 2400 1
800 2880 1447 436 337 3 65 592 1883 1870 11 2404 2404 1 148 1451 810 2409 2409 1
801 2880 1437 416 350 6 61 610 1853 1843 9 2389 2389 1 144 1465 811 2420 2420 1
802 2880 1458 440 310 7 52 613 1898 1884 14 2404 2404 1 148 1476 792 2416 2416 1
803 2880 1457 440 340 4 55 584 1897 1876 14 2383 2383 1 145 1472 802 2419 2419 1
804 2880 1431 423 348 11 63 604 1854 1844 11 2417 2417 1 143 1470 817 2430 2430 1
805 2880 1425 445 357 10 63 580 1870 1861 8 2402 2402 1 153 1459 804 2416 2416 1
806 2880 1449 448 342 7 56 578 1897 1888 8 2395 2395 1 166 1438 818 2422 2422 1
807 2880 1469 450 330 8 54 569 1919 1905 10 2406 2406 1 158 1449 804 2411 2411 1
808 2880 1465 437 341 4 64 569 1902 1893 8 2407 2407 1 168 1453 800 2421 2421 1
809 2880 1444 433 340 7 54 602 1877 1873 4 2403 2403 1 156 1456 800 2412 2412 1
810 2880 1424 439 336 4 75 602 1863 1846 12 2369 2369 1 155 1446 796 2397 2397 1
811 2880 1426 418 348 6 63 619 1844 1831 11 2377 2377 1 145 1470 787 2402 2402 1
812 2880 1438 429 357 12 65 579 1867 1851 14 2411 2411 1 145 1490 781 2416 2416 1
813 2880 1390 411 382 10 69 618 1801 1788 12 2383 2383 1 137 1481 773 2391 2391 1
814 2880 1387 428 370 10 78 607 1815 1789 19 2368 2368 1 150 1461 794 2405 2405 1
815 2880 1441 426 343 12 70 588 1867 1857 9 2400 2400 1 126 1517 787 2430 2430 1
816 2880 1473 447 344 9 66 541 1920 1902 13 2418 2418 1 126 1528 791 2445 2445 1
817 2880 1480 470 322 14 67 527 1950 1939 11 2432 2432 1 144 1514 805 2463 2463 1
818 2880 1479 463 349 9 49 531 1942 1934 9 2442 2442 1 137 1505 812 2454 2454 1
819 2880 1502 466 327 7 43 535 1968 1964 5 2458 2458 1 133 1530 800 2463 2463 1
820 2880 1465 457 349 2 58 549 1922 1915 7 2452 2452 1 138 1506 819 2463 2463 1
